Profile Name/ID,Video ID,Title,Author Channel,Action,Was commented,Comment,Date,Time,Tags,Rating
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,VCu4IPwJBmw,TORTA DE CHOCOLATE COM WHISKY E CARAMELO!,Leonardo Abreu,Watched,0,-,27-05-2025,20:33:29,"vídeo, compartilhamento, celular com câmera, videofone, gratuito, envio",-
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,FhmxpJ-sSiM,23 tendências de MODA MASCULINA para 2025,Edson Castro [Oficial],Watched,0,-,27-05-2025,20:39:02,"moda 2025, moda, moda masculina, moda masculina 2025, moda 2025 masculina, tendências de moda, tendências moda 2025, moda tendências 2025, tendências de moda masculina 2025, moda 2025 tendências masculinas, tendências de moda masculina para 2025, tendências de moda para 2025, tendências de moda masculina, tendencias de moda 2025, tendencia moda masculina 2025, roupa masculina, tendencias 2025, tendencias moda masculina 2025",-
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,v3gDNPaP00U,Os 10 MELHORES Perfumes NACIONAIS de 2025 - A Lista das Listas com @LuisJordao | Perfumes Masculinos,machomoda,Watched,0,-,27-05-2025,20:52:36,"macho moda, coloral, moda masculina, estilo masculino, moda para homens, machomoda, perfumes nacionais, melhores perfumes nacionais masculinos, perfumes nacionais masculinos, perfumes nacionais 2025, melhores perfumes nacionais 2025, melhores perfumes masculinos 2025, top 10 perfumes nacionais 2025, 10 melhores perfumes masculinos 2025, melhores perfumes 2025, close intention eudora, empire icon hinode, natura homem nós, fervo intenso granado, essencial sentir, malbec 20",-
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,Ka3QDGVmOYA,"I build a DIY café box, roast my own coffee & enjoy in the wild. Stanley box upgrade & Land Cruiser.",treebud,Watched,0,-,27-05-2025,21:01:25,"camping gears, asmr, relaxing, camping fire, meditation, how to use, unbox, STANLEY LUNCH BOX CLASSIC, STANLEY, CAMPHACK, DIY, TABLE ROLL TOP, TABLE TOP CUSTOM, OUTDOOR COFFEE, CAMPING COFFEE, STANLEY CLASSIC, COFFEE BOX, WOOD, CRAFT, WOOD WORKING, CAMPHACKS, TREEBUD, TREEBUD OUTDOOR, POUR OVER, outdoor coffee, barista, vanlife, storage box, aluminium box, mobile cafe, MHw 3bomber, woodwork, pour over coffee, japan, Craft, idea, handmade, cook, portable, espresso, dog lover, picnic",-
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,3znrCFusbC8,Brisket Angus X Brisket Wagyu | Netão Bom Beef,Netão Bom Beef,Watched,0,-,27-05-2025,21:01:59,"Churrasco, carnes, netao, bombeef, brisket, peito bovino, brisket netao, como prepara brisket, brisket defumado, peito bovino defumado, brisket angus netao, brisket wagyu como fazer, netao brisket, como fazer brisket netao, defumado, defumação netao bom beef, carne defumada netao, netao bom beef brisket, peito bovino defumado netao",-
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,L8of78FrH74,Contrafilé Borboleta Recheado I Churrasqueadas,Churrasqueadas,Watched,0,-,28-05-2025,20:08:18,"receita de contra filé, como fazer contra file, Prazer da carne, churrasco, como fazer churrasco, receita de churrasco, bbq, bbq brasil, Brazilian barbecue, pit bbq, churrasqueada, programa de tv, canal de churrasco, carnes, cook, receitas, jose almiro, curso de churrasco, meat, how to cook",-
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,RIRIumsbVPI,The Aogiri Extermination Mission | Tokyo Ghoul:re Part 2 (Official Clip),All the Anime,Watched,0,-,28-05-2025,09:39:13,"Tokyo Ghoul, Tokyo Ghoul:re, Ken Kaneki, Haise Sasaki, Kishō Arima, anime, Kuki Urie, Shiki Kijima, horror",-
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,PAXMm2QCnlg,PANQUECA DE CARNE COM CATUPIRY! | Rango de casa,Leonardo Abreu,Watched,0,-,28-05-2025,20:03:18,"leo abreu, leonardo abreu, panqueca de forno, panqueca, como fazer panqueca, carne com catupiry, panqueca de carne, a melhor panqueca, receitas, receitas simples, molhos, caldos, ingrediente secreto, tasty, tastemade, gastronomia, rango de casa",-
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,tR2xFjINhNI,onde estavam as MARCAS DE ROUPA na SEGUNDA GUERRA MUNDIAL? | PODCAST de MODA MASCULINA 02,Edson Castro [Oficial],Watched,0,-,28-05-2025,20:04:37,"edson castro, edson castro mhm, mhm edson castro, castrinho, ed castro, mhm, segunda guerra, segunda guerra mundial, segunda guerra mundial moda, moda na segunda guerra mundial, moda segunda guerra mundial, moda masculina, moda masculina na segunda guerra mundial, marcas de roupa na segunda guerra mundial, 2 guerra mundial, segunda guerra mundial podcast, podcast segunda mundial, podcast sobre segunda guerra mundial, moda, guerra, moda na guerra, guerra mundial, 2 guerra",-
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,eNPQsVkgmL4,Cafés baratos da Amazon no espresso: Funcionam ou enganam? (Teste Parte 2) | Não Sou Barista,Não Sou Barista,Watched,0,-,28-05-2025,20:05:32,"nao sou barista, não sou barista, ncjos31456, CAFÉ, café especial, café espresso, café na amazon, teste cego de café, café em grãos amazon, vale a pena café amazon, café barato amazon, teste de espresso, cafés especiais baratos, espresso em casa, café especial espresso, teste café espresso, café de torra velha, café bom e barato, como escolher café em grãos, barista em casa, café gourmet, review café amazon, café bom para espresso, cafés para espresso",-
